"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SUI","Sun Communities, Inc.","123.71","$10.7B","1993","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/sui",
"SNHY","Sun Hydraulics Corporation","49.94","$1.6B","1997","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/snhy",
"SLF","Sun Life Financial Inc.","41.26","$24.53B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/slf",
"SXCP","SunCoke Energy Partners, L.P.","12.92","$597.25M","2013","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/sxcp",
"SXC","SunCoke Energy, Inc.","8.88","$578.1M","2011","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/sxc",
"SU","Suncor Energy  Inc.","32.39","$50.98B","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/su",
"SNDE","Sundance Energy Australia Limited","3.05","$209.68M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/snde",
"SNSS","Sunesis Pharmaceuticals, Inc.","1.37","$92.58M","2005","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/snss",
"STG","Sunlands Technology Group","3","$514.87M","2018","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/stg",
"SSY","SunLink Health Systems, Inc.","1.6359","$11.43M","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/ssy",
"SUN","Sunoco LP","31.43","$2.6B","2012","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/sun",
"STKL","SunOpta, Inc.","3.47","$303.51M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/stkl",
"SPWR","SunPower Corporation","7.54","$1.07B","2005","Technology","Semiconductors","https://www.nasdaq.com/symbol/spwr",
"RUN","Sunrun Inc.","16","$1.84B","2015","Capital Goods","Industrial Specialties","https://www.nasdaq.com/symbol/run",
"SHO","Sunstone Hotel Investors, Inc.","14.57","$3.33B","2004","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/sho",
